builtin	shape	ok	code	category	recoverable	message
compile	matrix	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile	text	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile	bool	False	InvalidOperation	DomainError	True	compile(): argument 2 must be a list of parameter symbols, e.g. [x]; got Symbolic.
compile	empty	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile_full	record	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile_full	matrix	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile_full	text	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
compile_full	bool	False	InvalidOperation	DomainError	True	compile_full(): argument 2 must be a list of parameter symbols, e.g. [x]; got Symbolic.
compile_full	empty	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
concat	record	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Record'.
concat	matrix	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Array'.
concat	text	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Text'.
concat	bool	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Boolean'.
concat	empty	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Vector'.
conj	record	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'RecordValue'.
conj	text	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'String'.
conj	bool	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'RelationExpr'.
conv	record	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
conv	text	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
conv	bool	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
cos	record	False	InvalidOperation	DomainError	True	cos(): argument 1 must be a symbolic expression; got Record.
cos	matrix	False	InvalidOperation	DomainError	True	cos(): argument 1 must be a symbolic expression; got Vector.
cos	empty	False	InvalidOperation	DomainError	True	cos(): argument 1 must be a symbolic expression; got Vector.
cosh	record	False	InvalidOperation	DomainError	True	cosh(): argument 1 must be a symbolic expression; got Record.
cosh	matrix	False	InvalidOperation	DomainError	True	cosh(): argument 1 must be a symbolic expression; got Vector.
cosh	empty	False	InvalidOperation	DomainError	True	cosh(): argument 1 must be a symbolic expression; got Vector.
cosine	record	False	InvalidOperation	DomainError	True	cosine() expects a Natural or Integer argument, but got 'RecordValue'.
cosine	matrix	False	InvalidOperation	DomainError	True	cosine() expects a Natural or Integer argument, but got 'PayloadArray'.
cosine	text	False	InvalidOperation	DomainError	True	cosine() expects a Natural or Integer argument, but got 'String'.
cosine	bool	False	InvalidOperation	DomainError	True	cosine() expects a Natural or Integer argument, but got 'RelationExpr'.
cosine	empty	False	InvalidOperation	DomainError	True	cosine() expects a Natural or Integer argument, but got 'PayloadArray'.
cross	record	False	InvalidArgument	TypeMismatch	True	cross(): argument 1 must be a vector of length 3; got Record.
cross	matrix	False	InvalidArgument	TypeMismatch	True	cross(): argument 1 must be a vector of length 3; got Array.
cross	text	False	InvalidArgument	TypeMismatch	True	cross(): argument 1 must be a vector of length 3; got Text.
cross	bool	False	InvalidArgument	TypeMismatch	True	cross(): argument 1 must be a vector of length 3; got Boolean.
cross	empty	False	InvalidArgument	TypeMismatch	True	cross(): argument 1 must be a vector of length 3; got Vector.
delay	record	False	InvalidOperation	DomainError	True	delay() expects a Natural or Integer argument, but got 'RecordValue'.
delay	matrix	False	InvalidOperation	DomainError	True	delay() expects a Natural or Integer argument, but got 'PayloadArray'.
delay	text	False	InvalidOperation	DomainError	True	delay() expects a Natural or Integer argument, but got 'String'.
delay	bool	False	InvalidOperation	DomainError	True	delay() expects a Natural or Integer argument, but got 'RelationExpr'.
delay	empty	False	InvalidOperation	DomainError	True	delay() expects a Natural or Integer argument, but got 'PayloadArray'.
det	record	False	InvalidArgument	TypeMismatch	True	det(): argument 1 must be a square matrix; got Record.
det	text	False	InvalidArgument	TypeMismatch	True	det(): argument 1 must be a square matrix; got Text.
det	bool	False	InvalidArgument	TypeMismatch	True	det(): argument 1 must be a square matrix; got Boolean.
det	empty	False	InvalidArgument	TypeMismatch	True	det(): argument 1 must be a square matrix; got Vector.
dft	record	False	InvalidOperation	DomainError	True	dft() expects a Natural or Integer argument, but got 'RecordValue'.
dft	matrix	False	InvalidOperation	DomainError	True	dft() expects a Natural or Integer argument, but got 'PayloadArray'.
dft	text	False	InvalidOperation	DomainError	True	dft() expects a Natural or Integer argument, but got 'String'.
dft	bool	False	InvalidOperation	DomainError	True	dft() expects a Natural or Integer argument, but got 'RelationExpr'.
dft	empty	False	InvalidOperation	DomainError	True	dft() expects a Natural or Integer argument, but got 'PayloadArray'.
diff	record	False	InvalidOperation	DomainError	True	diff(): argument 1 must be a symbolic expression; got Record.
diff	matrix	False	InvalidOperation	DomainError	True	diff(): argument 1 must be a symbolic expression; got Vector.
diff	bool	False	InvalidOperation	DomainError	True	diff(): argument 2 must be a symbolic variable; got Symbolic.
diff	empty	False	InvalidOperation	DomainError	True	diff(): argument 1 must be a symbolic expression; got Vector.
divrem	record	False	InvalidOperation	DomainError	True	divrem() is not supported for values of kind 'Record'. Use Natural or Integer operands.
divrem	matrix	False	InvalidOperation	DomainError	True	divrem() is not supported for values of kind 'Array'. Use Natural or Integer operands.
divrem	text	False	InvalidOperation	DomainError	True	divrem() is not supported for values of kind 'Text'. Use Natural or Integer operands.
divrem	bool	False	InvalidOperation	DomainError	True	divrem() is not supported for values of kind 'Boolean'. Use Natural or Integer operands.
divrem	empty	False	InvalidOperation	DomainError	True	divrem() is not supported for values of kind 'Vector'. Use Natural or Integer operands.
dot	record	False	InvalidArgument	TypeMismatch	True	dot(): argument 1 must be an array or vector; got Record.
dot	matrix	False	InvalidArgument	TypeMismatch	True	dot() operands must be rank-1 vectors.
dot	text	False	InvalidArgument	TypeMismatch	True	dot(): argument 1 must be an array or vector; got Text.
dot	bool	False	InvalidArgument	TypeMismatch	True	dot(): argument 1 must be an array or vector; got Boolean.
e	record	False	InvalidOperation	DomainError	True	e() expects a Natural or Integer digit count, but got 'Record'.
e	matrix	False	InvalidOperation	DomainError	True	e() expects a Natural or Integer digit count, but got 'Array'.
e	text	False	InvalidOperation	DomainError	True	e() expects a Natural or Integer digit count, but got 'Text'.
e	bool	False	InvalidOperation	DomainError	True	e() expects a Natural or Integer digit count, but got 'Boolean'.
e	empty	False	InvalidOperation	DomainError	True	e() expects a Natural or Integer digit count, but got 'Vector'.
evalf	record	False	InvalidArgument	TypeMismatch	True	evalf(): argument 2 (digits) must be a Natural or Integer digit count between 1 and 2147483647; got Record.
evalf	matrix	False	InvalidArgument	TypeMismatch	True	evalf(): argument 2 (digits) must be a Natural or Integer digit count between 1 and 2147483647; got Vector.
evalf	text	False	InvalidArgument	TypeMismatch	True	evalf(): argument 2 (digits) must be a Natural or Integer digit count between 1 and 2147483647; got Text.
evalf	bool	False	InvalidArgument	TypeMismatch	True	evalf(): argument 2 (digits) must be a Natural or Integer digit count between 1 and 2147483647; got Symbolic.
evalf	empty	False	InvalidArgument	TypeMismatch	True	evalf(): argument 2 (digits) must be a Natural or Integer digit count between 1 and 2147483647; got Vector.
evalir	record	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir	matrix	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir	text	False	InvalidInput	ParseError	True	Malformed IR line: x
evalir	bool	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir	empty	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir_batch	record	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir_batch	matrix	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir_batch	text	False	InvalidInput	ParseError	True	Malformed IR line: x
evalir_batch	bool	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
evalir_batch	empty	False	InvalidOperation	DomainError	True	evalir/evalir_batch expect the IR from compile() or compile_full().
exp	record	False	InvalidOperation	DomainError	True	exp(): argument 1 must be a symbolic expression; got Record.
exp	matrix	False	InvalidOperation	DomainError	True	exp(): argument 1 must be a symbolic expression; got Vector.
exp	empty	False	InvalidOperation	DomainError	True	exp(): argument 1 must be a symbolic expression; got Vector.
expand	record	False	InvalidOperation	DomainError	True	expand(): argument 1 must be a symbolic expression; got Record.
expand	matrix	False	InvalidOperation	DomainError	True	expand(): argument 1 must be a symbolic expression; got Vector.
expand	empty	False	InvalidOperation	DomainError	True	expand(): argument 1 must be a symbolic expression; got Vector.
exponential	record	False	InvalidOperation	DomainError	True	exponential() expects a Natural or Integer argument, but got 'RecordValue'.
exponential	matrix	False	InvalidOperation	DomainError	True	exponential() expects a Natural or Integer argument, but got 'PayloadArray'.
exponential	text	False	InvalidOperation	DomainError	True	exponential() expects a Natural or Integer argument, but got 'String'.
exponential	bool	False	InvalidOperation	DomainError	True	exponential() expects a Natural or Integer argument, but got 'RelationExpr'.
exponential	empty	False	InvalidOperation	DomainError	True	exponential() expects a Natural or Integer argument, but got 'PayloadArray'.
eye	record	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Record'.
eye	matrix	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Array'.
eye	text	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Text'.
eye	bool	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Boolean'.
eye	empty	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Vector'.
factor	record	False	InvalidOperation	DomainError	True	factor(): argument 1 must be a symbolic expression; got Record.
factor	matrix	False	InvalidOperation	DomainError	True	factor(): argument 1 must be a symbolic expression; got Vector.
factor	empty	False	InvalidOperation	DomainError	True	factor(): argument 1 must be a symbolic expression; got Vector.
fft	record	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
fft	text	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
fft	bool	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
filter	record	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
filter	text	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
filter	bool	False	InvalidOperation	DomainError	True	DSP builtins expect an array argument, but got a scalar.
filter	empty	False	InvalidArgument	TypeMismatch	True	The denominator coefficient vector 'a' must not be empty. (Parameter 'a')
flatten	record	False	InvalidArgument	TypeMismatch	True	flatten(): argument 1 must be an array or vector; got Record.
flatten	text	False	InvalidArgument	TypeMismatch	True	flatten(): argument 1 must be an array or vector; got Text.
flatten	bool	False	InvalidArgument	TypeMismatch	True	flatten(): argument 1 must be an array or vector; got Boolean.
hessian	record	False	InvalidOperation	DomainError	True	hessian(): argument 1 must be a symbolic expression; got Record.
hessian	matrix	False	InvalidOperation	DomainError	True	hessian(): argument 1 must be a symbolic expression; got Vector.
hessian	text	False	InvalidOperation	DomainError	True	hessian(): argument 2 must be a list of parameter symbols, e.g. [x]; got Text.
hessian	bool	False	InvalidOperation	DomainError	True	hessian(): argument 2 must be a list of parameter symbols, e.g. [x]; got Symbolic.
hessian	empty	False	InvalidOperation	DomainError	True	hessian(): argument 1 must be a symbolic expression; got Vector.
im	record	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'RecordValue'.
im	text	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'String'.
im	bool	False	InvalidOperation	DomainError	True	DSP builtins expect numeric/complex elements, but got 'RelationExpr'.
impulse	record	False	InvalidOperation	DomainError	True	impulse() expects a Natural or Integer argument, but got 'RecordValue'.
impulse	matrix	False	InvalidOperation	DomainError	True	impulse() expects a Natural or Integer argument, but got 'PayloadArray'.
impulse	text	False	InvalidOperation	DomainError	True	impulse() expects a Natural or Integer argument, but got 'String'.
impulse	bool	False	InvalidOperation	DomainError	True	impulse() expects a Natural or Integer argument, but got 'RelationExpr'.
impulse	empty	False	InvalidOperation	DomainError	True	impulse() expects a Natural or Integer argument, but got 'PayloadArray'.
integrate	record	False	InvalidOperation	DomainError	True	integrate(): argument 1 must be a symbolic expression; got Record.
integrate	matrix	False	InvalidOperation	DomainError	True	integrate(): argument 1 must be a symbolic expression; got Vector.
integrate	bool	False	InvalidOperation	DomainError	True	integrate(): argument 2 must be a symbolic variable; got Symbolic.
integrate	empty	False	InvalidOperation	DomainError	True	integrate(): argument 1 must be a symbolic expression; got Vector.
integrate_full	record	False	InvalidOperation	DomainError	True	integrate_full(): argument 1 must be a symbolic expression; got Record.
integrate_full	matrix	False	InvalidOperation	DomainError	True	integrate_full(): argument 1 must be a symbolic expression; got Vector.
integrate_full	bool	False	InvalidOperation	DomainError	True	integrate_full(): argument 2 must be a symbolic variable; got Symbolic.
integrate_full	empty	False	InvalidOperation	DomainError	True	integrate_full(): argument 1 must be a symbolic expression; got Vector.
inv	record	False	InvalidOperation	DomainError	True	Cannot widen from Record to Real: only numeric kinds (Natural, Integer, Real) support widening.
inv	text	False	InvalidOperation	DomainError	True	Cannot widen from Text to Real: only numeric kinds (Natural, Integer, Real) support widening.
inv	bool	False	InvalidOperation	DomainError	True	Cannot widen from Boolean to Real: only numeric kinds (Natural, Integer, Real) support widening.
inv	empty	False	InvalidOperation	DomainError	True	Cannot widen from Vector to Real: only numeric kinds (Natural, Integer, Real) support widening.
inv_full	record	False	InvalidArgument	TypeMismatch	True	inv_full(): argument 1 must be an array or vector; got Record.
inv_full	matrix	False	InvalidOperation	DomainError	True	inv_full() requires a symbolic matrix.
inv_full	text	False	InvalidArgument	TypeMismatch	True	inv_full(): argument 1 must be an array or vector; got Text.
inv_full	bool	False	InvalidArgument	TypeMismatch	True	inv_full(): argument 1 must be an array or vector; got Boolean.
inv_full	empty	False	InvalidOperation	DomainError	True	inv_full() requires a symbolic matrix.
is_even	record	False	InvalidOperation	DomainError	True	is_even() is not supported for values of kind 'Record'.
is_even	matrix	False	InvalidOperation	DomainError	True	is_even() is not supported for values of kind 'Array'.
is_even	text	False	InvalidOperation	DomainError	True	is_even() is not supported for values of kind 'Text'.
is_even	bool	False	InvalidOperation	DomainError	True	is_even() is not supported for values of kind 'Boolean'.
is_even	empty	False	InvalidOperation	DomainError	True	is_even() is not supported for values of kind 'Vector'.
is_odd	record	False	InvalidOperation	DomainError	True	is_odd() is not supported for values of kind 'Record'.
is_odd	matrix	False	InvalidOperation	DomainError	True	is_odd() is not supported for values of kind 'Array'.
is_odd	text	False	InvalidOperation	DomainError	True	is_odd() is not supported for values of kind 'Text'.
is_odd	bool	False	InvalidOperation	DomainError	True	is_odd() is not supported for values of kind 'Boolean'.
is_odd	empty	False	InvalidOperation	DomainError	True	is_odd() is not supported for values of kind 'Vector'.
jacobian	record	False	InvalidArgument	TypeMismatch	True	jacobian(): argument 1 must be a list of expressions, e.g. [x*y, x + y]; got Record.
jacobian	matrix	False	InvalidArgument	TypeMismatch	True	jacobian(): argument 2 must be a list of parameter symbols, e.g. [x, y]; got Vector.
jacobian	text	False	InvalidArgument	TypeMismatch	True	jacobian(): argument 1 must be a list of expressions, e.g. [x*y, x + y]; got Text.
jacobian	bool	False	InvalidArgument	TypeMismatch	True	jacobian(): argument 1 must be a list of expressions, e.g. [x*y, x + y]; got Symbolic.
latex	record	False	InvalidOperation	DomainError	True	latex(): argument 1 must be a symbolic expression; got Record.
latex	matrix	False	InvalidOperation	DomainError	True	latex(): argument 1 must be a symbolic expression; got Vector.
latex	empty	False	InvalidOperation	DomainError	True	latex(): argument 1 must be a symbolic expression; got Vector.
len	record	False	InvalidOperation	DomainError	True	len() expects a vector or array, but got 'Record'.
len	text	False	InvalidOperation	DomainError	True	len() expects a vector or array, but got 'Text'.
len	bool	False	InvalidOperation	DomainError	True	len() expects a vector or array, but got 'Boolean'.
limit	record	False	InvalidOperation	DomainError	True	limit(): argument 1 must be a symbolic expression; got Record.
limit	matrix	False	InvalidOperation	DomainError	True	limit(): argument 1 must be a symbolic expression; got Vector.
limit	bool	False	InvalidOperation	DomainError	True	limit(): argument 2 must be a symbolic variable; got Symbolic.
limit	empty	False	InvalidOperation	DomainError	True	limit(): argument 1 must be a symbolic expression; got Vector.
limit_full	record	False	InvalidOperation	DomainError	True	limit_full(): argument 2 must be a symbolic variable; got Record.
limit_full	matrix	False	InvalidOperation	DomainError	True	limit_full(): argument 2 must be a symbolic variable; got Vector.
limit_full	bool	False	InvalidOperation	DomainError	True	limit_full(): argument 2 must be a symbolic variable; got Symbolic.
limit_full	empty	False	InvalidOperation	DomainError	True	limit_full(): argument 2 must be a symbolic variable; got Vector.
limit_left	record	False	InvalidOperation	DomainError	True	limit_left(): argument 1 must be a symbolic expression; got Record.
limit_left	matrix	False	InvalidOperation	DomainError	True	limit_left(): argument 1 must be a symbolic expression; got Vector.
limit_left	bool	False	InvalidOperation	DomainError	True	limit_left(): argument 2 must be a symbolic variable; got Symbolic.
limit_left	empty	False	InvalidOperation	DomainError	True	limit_left(): argument 1 must be a symbolic expression; got Vector.
limit_right	record	False	InvalidOperation	DomainError	True	limit_right(): argument 1 must be a symbolic expression; got Record.
limit_right	matrix	False	InvalidOperation	DomainError	True	limit_right(): argument 1 must be a symbolic expression; got Vector.
limit_right	bool	False	InvalidOperation	DomainError	True	limit_right(): argument 2 must be a symbolic variable; got Symbolic.
limit_right	empty	False	InvalidOperation	DomainError	True	limit_right(): argument 1 must be a symbolic expression; got Vector.
linsolve	record	False	InvalidArgument	TypeMismatch	True	linsolve(): argument 1 must be an array or vector; got Record.
linsolve	matrix	False	InvalidOperation	DomainError	True	linsolve() requires a symbolic matrix A.
linsolve	text	False	InvalidArgument	TypeMismatch	True	linsolve(): argument 1 must be an array or vector; got Text.
linsolve	bool	False	InvalidArgument	TypeMismatch	True	linsolve(): argument 1 must be an array or vector; got Boolean.
linsolve	empty	False	InvalidOperation	DomainError	True	linsolve() requires a symbolic matrix A.
linsolve_full	record	False	InvalidArgument	TypeMismatch	True	linsolve_full(): argument 1 must be an array or vector; got Record.
linsolve_full	matrix	False	InvalidOperation	DomainError	True	linsolve_full() requires a symbolic matrix A.
linsolve_full	text	False	InvalidArgument	TypeMismatch	True	linsolve_full(): argument 1 must be an array or vector; got Text.
linsolve_full	bool	False	InvalidArgument	TypeMismatch	True	linsolve_full(): argument 1 must be an array or vector; got Boolean.
linsolve_full	empty	False	InvalidOperation	DomainError	True	linsolve_full() requires a symbolic matrix A.
log	record	False	InvalidOperation	DomainError	True	log(): argument 1 must be a symbolic expression; got Record.
log	matrix	False	InvalidOperation	DomainError	True	log(): argument 1 must be a symbolic expression; got Vector.
log	empty	False	InvalidOperation	DomainError	True	log(): argument 1 must be a symbolic expression; got Vector.
lower	record	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
lower	matrix	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
lower	text	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
lower	bool	False	InvalidOperation	DomainError	True	lower(): argument 2 must be a list of parameter symbols, e.g. [x]; got Symbolic.
lower	empty	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
matmul	record	False	InvalidArgument	TypeMismatch	True	matmul(): argument 1 must be an array or vector; got Record.
matmul	text	False	InvalidArgument	TypeMismatch	True	matmul(): argument 1 must be an array or vector; got Text.
matmul	bool	False	InvalidArgument	TypeMismatch	True	matmul(): argument 1 must be an array or vector; got Boolean.
matrix_rank	record	False	InvalidArgument	TypeMismatch	True	matrix_rank(): argument 1 must be an array or vector; got Record.
matrix_rank	matrix	False	InvalidOperation	DomainError	True	matrix_rank() requires a symbolic matrix.
matrix_rank	text	False	InvalidArgument	TypeMismatch	True	matrix_rank(): argument 1 must be an array or vector; got Text.
matrix_rank	bool	False	InvalidArgument	TypeMismatch	True	matrix_rank(): argument 1 must be an array or vector; got Boolean.
matrix_rank	empty	False	InvalidOperation	DomainError	True	matrix_rank() requires a symbolic matrix.
max	record	False	InvalidArgument	TypeMismatch	True	max(): argument 1 must be an array or vector; got Record.
max	matrix	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Array'.
max	text	False	InvalidArgument	TypeMismatch	True	max(): argument 1 must be an array or vector; got Text.
max	bool	False	InvalidArgument	TypeMismatch	True	max(): argument 1 must be an array or vector; got Boolean.
max	empty	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Vector'.
mean	record	False	InvalidArgument	TypeMismatch	True	mean(): argument 1 must be an array or vector; got Record.
